time,sin,cos,tan
0.52,-0.12533323356430429,-0.9921147013144779,0.12632937844610823
0.53,-0.18738131458572477,-0.9822872507286886,0.19076020221856688
0.54,-0.24868988716485502,-0.9685831611286311,0.25675636036772703
0.55,-0.30901699437494773,-0.9510565162951535,0.3249196962329067
0.56,-0.3681245526846783,-0.9297764858882512,0.3959280087977217
0.57,-0.42577929156507227,-0.9048270524660197,0.470564281212251
0.58,-0.481753674101715,-0.8763066800438637,0.5497546521927696
0.59,-0.5358267949789964,-0.8443279255020152,0.6346192975441478
0.6,-0.587785252292473,-0.8090169943749475,0.7265425280053607
0.61,-0.6374239897486896,-0.7705132427757893,0.8272719459724756
0.62,-0.6845471059286887,-0.7289686274214116,0.9390625058174924
0.63,-0.7289686274214113,-0.684547105928689,1.0648918403247911
0.64,-0.7705132427757894,-0.6374239897486895,1.2087923504096096
0.65,-0.8090169943749473,-0.5877852522924732,1.3763819204711731
0.66,-0.8443279255020153,-0.5358267949789963,1.5757478599686523
0.67,-0.8763066800438636,-0.48175367410171527,1.8189932472810664
0.68,-0.9048270524660198,-0.42577929156507216,2.125108173157206
0.69,-0.9297764858882511,-0.3681245526846786,2.5257116894473
0.7,-0.9510565162951535,-0.30901699437494756,3.077683537175252
0.71,-0.968583161128631,-0.2486898871648553,3.894742854929851
0.72,-0.9822872507286887,-0.18738131458572463,5.242183581113177
0.73,-0.9921147013144778,-0.1253332335643046,7.915815088305804
0.74,-0.9980267284282716,-0.06279051952931321,15.894544843865347
0.75,-1.0,-1.8369701987210297e-16,5443746451065123.0
0.76,-0.9980267284282716,0.06279051952931283,-15.894544843865441
0.77,-0.9921147013144779,0.12533323356430423,-7.915815088305828
0.78,-0.9822872507286887,0.18738131458572427,-5.242183581113188
0.79,-0.9685831611286311,0.24868988716485493,-3.8947428549298566
0.8,-0.9510565162951536,0.30901699437494723,-3.0776835371752553
0.81,-0.9297764858882512,0.36812455268467825,-2.5257116894473026
0.82,-0.9048270524660199,0.4257792915650718,-2.1251081731572077
0.83,-0.8763066800438638,0.48175367410171493,-1.818993247281068
0.84,-0.8443279255020155,0.535826794978996,-1.5757478599686536
0.85,-0.8090169943749476,0.5877852522924729,-1.3763819204711742
0.86,-0.7705132427757896,0.6374239897486893,-1.2087923504096105
0.87,-0.7289686274214116,0.6845471059286886,-1.064891840324792
0.88,-0.684547105928689,0.7289686274214112,-0.9390625058174931
0.89,-0.6374239897486896,0.7705132427757894,-0.8272719459724753
0.9,-0.5877852522924734,0.8090169943749473,-0.7265425280053612
0.91,-0.5358267949789963,0.8443279255020152,-0.6346192975441477
0.92,-0.4817536741017153,0.8763066800438636,-0.5497546521927701
0.93,-0.4257792915650722,0.9048270524660197,-0.4705642812122509
0.94,-0.3681245526846787,0.9297764858882511,-0.39592800879772216
0.95,-0.3090169943749477,0.9510565162951535,-0.32491969623290656
0.96,-0.24868988716485535,0.968583161128631,-0.2567563603677274
0.97,-0.18738131458572468,0.9822872507286887,-0.19076020221856682
0.98,-0.12533323356430465,0.9921147013144778,-0.1263293784461086
0.99,-0.06279051952931326,0.9980267284282716,-0.06291466725364965
